Short Title:,Full Title:,Author,Author Org,Full Abstract Text:,Status:,Classification:,Presenter Type:,Track,Session Category:,Presentation Req:,Seheduling Req:,Objectives:,Comments:,Bio,Topic1:
Cathodic Protection Probes - Diver and ROV,Cathodic Protection Probes for Diver & ROV Interface - Whats New?,"Britton, Jim",Deepwater Corrosion Services Inc.,"The presentation will review types of instrument currently avaialble, their application and limitations.  Practical tips to ensure correct equipment function and common pitfalls which lead to inaccuarate surveys will be discussed.  The talk will present various case histories on diver surveys, ROV pipeline surveys and general topside cathodic protections surveys. Various probe types will be discussed along with emerging technologies for AUV surveys.",,Invited,MTS Member,Instruments and Sensors,Presentation,Standard powerpoin projector.,Any time.,"The objective here is to educate the audience into a better understanding of offshore CP measurement, an area where problems are commonplace. Hopefully the listeners will be able to pass on the knowledge into the underwater community.  We will have the probes and equipment on display at the trade show.",,Jim Britton - As founder and CEO of Deepwater Corrosion services Inc in 1986 he has been responsible for the development of currently used CP measurement systems manufactured by his company.  He has worked offshore on thousands of CP surveys both diver / ROV and topside deployed.  The Polatrak brand is currently the leading leader in this type of equipment.,Other Topics in Sensors and Instruments
Certification of ROV Personnel,A New Competency Certification Scheme for ROV Operating Personnel,"Parkes, David",Diver Certification Board of Canada,"Since 2003, the Diver Certification Board of Canada (DCBC) has offered certification to commercial diving personnel who can demonstrate that they have sufficient training and experience to enable them to meet the competency requirements of the appropriate section of the Canadian Standards Association (CSA) Competency Standard for Diving Operations (CSA Standard Z275.4). The DCBC also accredits commercial diver training organizations which train to the competency levels of Z275.4.

For the past two years the DCBC has been working with schools, industry and other organisations to develop a certification scheme for ROV operating personnel.

The purpose of certifying the competence of ROV personnel (Pilot/Technicians and Supervisors) is to help ensure the safety of personnel, equipment, assets and the environment and includes the protection of divers who often work in the same underwater work site as a ROV.

In general the levels of certification and the competencies required to obtain certification are designed to meet the requirements of ROV Contractors and ROV end users.",Accptd pnding mat'l,Contributed,not MTS Member,Work Class Remotely Operated Vehicles,Presentation,Standard audio visual set-up and internet access,,To present a new certification scheme for ROV personnel and to invite comment from industry and other organisations,,"David Parkes M.Ed
David Parkes is the Chief Executive Officer of the DCBC.  He retired from the Canadian Coast Guard in October 2000, following a 35-year career during which he served in a number of positions including Senior Examiner of Marine Engineers in Ottawa and, for seven years, Director of the Canadian Coast Guard College in Sydney, Nova Scotia.  For the final four years of his career he was Director of Technical Services for the Maritimes Region of the Coast Guard.
David was hired as a consultant in early 2001 to create the DCBC and in 2002 he agreed to stay on the first Executive Director.  In 2009, during the development of a policy-based governance structure for the board, David's title was changed to CEO.",Other
Collaboratory Science,Using the Coastal Margin Observation and Prediction Collaboratory as an Educational Platform: Resources and Opportunities for Educators and Students,"Rathmell, Katie",Oregon Health and Science University,"My presentation will highlight the CMOP Ocean Observatory and all of the assets and technologies we currently use to collect and disseminate data to the broader scientific community. Including sensors from WetLabs, Turner, Sunburst, Satlantic, Remus AUV's, and Slocum gliders. I will specifically talk about our educational opportunities such as real-time data and interactive web resources for educators and students in the classroom, Saturday Academy, Oceanography camp, Observatory camp, internships, graduate education, tribal partnerships, and community outreach.",Accptd pnding mat'l,Contributed,MTS Member,Education and Academic Presentations,Presentation,Internet access needed,,To highlight the educational opportunities within the CMOP Collaboratory,,I have been with CMOP since 2007. My work with CMOP is very exciting as I am a member of the field team. I work on the ocean observatory as an instrument technician and glider pilot. I help construct and populate all of our stations in the Columbia River as well as two ocean buoys. I also participate in Saturday Academy and Oceanography camp as an instructor.,Marine Technology Education & Outreach
Data Logger For Surface And/Or Subsea,HOW TO AID YOUR OPERATIONS IN REDUCING FAILURES,"Payan, Raquel",The Subsea Company,"HOW TO AID YOUR OPERATIONS IN REDUCING FAILURES

Richard Davidson and Eric Milne, The Subsea Company

The Surface or Subsea Data Logger is intended to give operators the ability to monitor key pressures and provide information in real-time.

The Subsea Company offers 2 types of Data Loggers:
1)	Surface Data Logger
2)	Subsea Data Logger

The Data Logger is specifically designed to capture pressure (P) vs. a set time (T) on a chart recorder or data-logger at high resolution. The test equipment is connected between a hydraulic supply and the equipment to be tested. While operating the equipment, pressure vs. time is recorded on a suitably scaled chart recorder or data-logger. The newly captured chart is compared against known good data. The performance curves are then interpreted to determine if the equipment is operating within an acceptable range. With the Data Logger information, one can determine if the equipment is operating as designed.

As for the Subsea Data Logger, equipment to record pressures and other data on the BOP Stack while subsea is independent of existing control pods and the data is accessible on the surface. The Subsea Data Logger units can be daisy-chained and placed on the Lower Marine Riser Package (LMRP) and/or lower stack. The Data Logger's battery power source is good for long durations without a recharge. These batteries can be recharged subsea via ROV.  The data is multi-plexed onto a single mode fiber. The on board computer records data from up to 8 analog channels concurrently at a high data rate (up to 250,000 X 8 samples per second). ROV interface is provided for separate communications path to the unit.

Typical use for the Data Logger for Surface and/or Subsea:
o	Factory acceptance testing of RAM BOPs, annulars, connectors, valves, BOP stacks and trees
o	On-hire acceptance testing of production and offshore drilling rigs
o	Pre-deployment testing of trees and BOP stacks following repairs and maintenance
o	Before and after maintenance
o	To justify an extended maintenance period

Our proprietary Data Logger for Surface and/or Subsea will aid your operations in reducing failures. The Data Logger will also give the ability to be proactive with regards to possible government regulations.",Under Review,,MTS Member,Engineering Topics Not Covered by Other Tracks,Extended,,,,,,Other
Dave Scarberry,Underwater Burning and Welding Safety,"Scarberry, David",American Electric Power,"This subject will address a recent accident that occured to a diver while performing an underwater welding operation.  The resulting investigation and root cause analysis lead to the identification of several unrealized conditions that aided in creating this ""perfect storm.""  These included such items as unaccounted power sources, unfamiliar with tools, unknown actual amperage from welder, and adjacent work groups.  The end result was a new, and more detailed JHA was created that addresses these hazards.  This JHA includes all of the best safet practices as laid out by the ADCI, but also takes it to the next level of pre-job set ups, and a firm commitment by AEP on how all U/W buring and welding work will conducted across the entire fleet.",Submitted for Review,Contributed,not MTS Member,Commercial Diving,Presentation,,None known at this time,"Heighten the awareness of the safety of underwater burning and welding by the sharing of information that was realized from an accident investigation that was not identified, or accounted for, during the pre-job set up and JSA process.",,"I am the diving coordinator for American Electric power.  AEP is one of the nation's largest electric power provider, with over 5 million cutomers, and cover 11 states.  Our generating resources include hydro, wind, fossil and nuclear.  My responsibilites include, but not limited to, the review, and subsequent approval, of all dive plans, ensuring AEP has an adequate resource pool of qualified diving contractors, and supporting the diving companies with engineering and techinal data as required for repairs, modifications, and new construction.",Safety Advances & Education
Deep Ocean Engineering Solutions,TBD,"Taylor, Liz",DOER Marine,<<Please enter a detailed description of your presentation.  Be sure to include any specific product names and versions it might relate to and any audience pre-requisites you feel are important...>>,Submitted for Review,,MTS Member,Manned Underwater Vehicles,Presentation,,,,,,Manned Sub Safety Advances and Regulations
Description of Solutions Using Sonar Imaging,Samples - Description of Equipment and Sonar Tools Available for Underwater Inspection and Construction Monitoring,"Klein, Mark",S.T. Hudson Engineersin Inc,"Show Scanning, Imaging, and Multi Beam Sonar uses, describe the differences and resons for using each.",Submitted for Review,,not MTS Member,Instruments and Sensors,Presentation,,,,,,All types of Sonars for Searching or Identifying
Early leak detection,Hydrocarbon Sniffers In Mobile Subsea Flowline Monitoring - A Field Report,"Esser, Daniel",Contros Systems & Solutions GmbH,"Exploration and production activities for oil and gas are steadily increasing in subsea areas. Various methods exist to detect and localize subsea oil and gas emissions but there is still a lack of understanding the processes of subsea leakages, and technologies to detect and localize emissions from subsea installations at an early stage have to be improved. Detecting and localizing subsea oil and gas emissions means dealing with warm multiphase outflow consisting of oil phase, gas bubbles and dissolved gas (mainly Methane), formation water, mixing with cold seawater, and sometimes even the formation of additional solid gas hydrate phases. Recent field observations and hydrodynamic models of Methane-rich fluid transport at natural seeping sites indicate the distinct behavior of Methane-dominated fluids in seawater.
A successful leak detection strategy must focus on the different physicochemical fluid characteristics of Methane as a tracer for subsea oil and gas emissions in general. The feasibility of Hydrocarbon Sniffers for the detection, localization and subsequent validation of subsea oil and gas emissions has been proven in several ROV- and AUV-borne subsea flowline surveys from 2008 until today. Field experience and latest results will be presented for different environmental backgrounds, reaching from arctic areas to extreme shallow waters.",Submitted for Review,Contributed,MTS Member,Instruments and Sensors,Presentation,,,,,"Daniel Esser is Managing Director and co-founder of CONTROS Systems & Solutions GmbH, a company that provides state-of-the-art multi-parameter sensor systems and services for both scientific and commercial hydrocarbon and CO2 leak detection and environmental monitoring projects worldwide. After working as a radio operator on a German Research Submarine, Daniel graduated from the University of North London with a Master in International Business. Since then he was working as a project manager, consultant and as a marketing manager for various international companies in the scientific, as well as in the industrial environment. In 2007, CONTROS has successfully launched the first fully integrated Mobile Leak Detection System for the detection, localization and qualification of early stage subsea oil and gas emissions.",
Electronic Recording Diving & Chamber Dives,Electronic Recording of Diving & Chamber Dives,"Hux, Will F.",MESCO/ Stroud Diving & Hydrography,"While it has been common industry practice to rely on hand written dive logs for divers and chamber runs for decompression, we have to rely completely on the integrity, quality, and capability of the human element to make detailed time and data entries without errors and while possibly being distracted by a great many things on deck.  Our company has been using electronic recorders and pressure sensors on chambers for years but now there exists a small device which we've been testing and have in practice for years which we issue to each diver and place in each of our chambers.  It records the time, depth, and temperature of the entire dive including the rates of ascent and descent.  They are a remarkable tool to counsel employees who violate descent and ascent rates or supervisors who allow surface intervals to go beyond the 5 minutes allowed between surfacing a diver and surface-decompression.

As a safety device, the recorders are completely indelible and the data is stored where it cannot be tampered with or changed.  They couple magnetically to upload data and there are no plugs or ports.  the only battery comes installed at the factory and they last approximately 10 years depending on usage.  These record chamber runs with precision and are completely intrinsic and sealed so there is no need to worry in an oxygen environment.  Testing is underway in our deep hyperbaric testing chamber to determine accuracy and integrity of its program and depth capability.

I hope to present this device and share the safe technology with all our members in January.",Plan to Accept,Contributed,not MTS Member,Commercial Diving,Presentation,Standard room - Projector - Microphone,"Any time, any day.  my personal motto "" Always Flexible, but never Limp...""",Provide introduction to an innovative piece of instrumentation which I feel should become a part of every diver's and chamber's kit.  This device will change the way we record dives in the future and take away the objectivity and doubt.,,Will Hux is a graduate of the Coastal School of Deep Sea Diving (1970) and Commercial Diving Center's Bell and Saturation course in 1973.  He is a mechanical engineer and has been employed with Stroud Diving & Hydrography since 1983.  He is a Wound Care Technologist and Certified Hyperbaric Technologist with the American College of Hyperbaric Medicine.,"	Commercial Diving Equipment Improvements and Reviews"
Environmental Monitoring with AUVs,Environmental Monitoring with AUVs - New sensors and techniques for detection and assessment of hydrocarbons in deep water,"Hancock, Chris","Kongsberg Underwater Technologies, Inc.","AUVs are ideal platforms for carrying an array of sensors for monitoring the environment around offshore installations. Combined with subsea docking technology, AUVs equipped with environmental sensors provide a persistent early warning capability against oil and gas leaks from drilling operations and pipelines, or other environmental contaminants. Acoustics is emerging as an alternative method of indirectly (or directly) detecting hydrocarbons in the water column. Kongsberg sonars are at the forefront of this developing technology which has also been adapted for AUV application. Its fisheries echo sounders have been used extensively in recent years for detecting and tracking oil plumes resulting from subsea leaks.
Kongsberg’s AUVs combine the latest in sonar technology, hydrocarbon sensors (“sniffers”) and other chemical sensors to provide a full suite of environmental sensors on a long endurance, autonomous and low-logistics subsea platform. Our host of in-house AUV technologies enables a reliable and capable environmental monitoring and warning tool and includes subsea docking, through-moonpool launch and recovery, platform hovering and adaptive behaviors. Kongsberg AUVs are also fully modular in design, allowing operators to configure a vehicle to suit the task at hand.
This paper provides a technology update on Kongsberg’s AUVs for environmental monitoring and presents recent test results for key technologies, including detecting hydrocarbons with acoustical sensors.",Submitted for Review,,MTS Member,Use this to have your track assigned by conference chair,Presentation,,,Making the case for use of AUVs for environmental monitoring including proposed sensor suite and concept of operation.,,"After graduating with a B.S. in Industrial Engineering from University of Vermont in 1978, Chris Hancock took a commission in the NOAA Corp (National Oceanographic and Atmospheric Administration) where he received his formal training as a hydrographic surveyor and conducted field operations in Washington State, Alaska and Hawaii. After completing his service with NOAA, Chris continued building his offshore experience with several commercial survey companies, holding positions as hydrographic survey, sonar operator, researcher and project manager. Chris spent several years working offshore in the Bay of Campeche, Mexico while assigned to the Ciudad del Carmen office of Brown & Root, Inc. (Houston, Texas). After more than 10 years in the field, Chris transitioned back to engineering working in systems design, software development and mechanical design related to sonar and hydrographic data acquisition and processing systems, eventually holding positions as program manager and general manger with Kongsberg (formerly Simrad) and other firms. Now in sales and marketing, Chris has been involved in the academic, offshore and naval sectors of the marine industry with a global reach, including business development of markets in the United States, Asia, and Latin America. His current focus is on emerging applications of AUV technology in the offshore oil and gas sector.",Future Applications and Capabilities
